"Country/Region/World","ISO","Sex","Year","Age","Prevalence of diabetes (18+ years)","Prevalence of diabetes (18+ years) lower 95% uncertainty interval","Prevalence of diabetes (18+ years) upper 95% uncertainty interval","Proportion of people with diabetes who were treated (30+ years)","Proportion of people with diabetes who were treated (30+ years) lower 95% uncertainty interval","Proportion of people with diabetes who were treated (30+ years) upper 95% uncertainty interval"
"United States of America","USA","Men","1995","Crude","0.0814278180554906","0.0681928937332938","0.0963237441028968","0.52092554944419","0.460217261806831","0.58287358238952"
"United States of America","USA","Men","1996","Crude","0.0829602530496907","0.069920265306227","0.0976985399990796","0.526970724050276","0.467748961536585","0.587200755154212"
"United States of America","USA","Men","1997","Crude","0.0845800890656706","0.0714434323224116","0.0989780433660047","0.532983427403279","0.475133861012289","0.59126611856656"
"United States of America","USA","Men","1998","Crude","0.0862610446391368","0.0730559275555075","0.100806335323148","0.538764552223804","0.483334938359452","0.594794700154875"
"United States of America","USA","Men","1999","Crude","0.0880219316699954","0.0748749672949826","0.102962691951306","0.544315502868193","0.490125120688728","0.599654812410593"
"United States of America","USA","Men","2000","Crude","0.0899433257370537","0.0767450398448588","0.104968140693309","0.549711404738438","0.497280013915906","0.602856940220451"
"United States of America","USA","Men","2001","Crude","0.0922225469174142","0.0792054893607425","0.106775895412908","0.555066767224349","0.503770945659428","0.606181708309381"
"United States of America","USA","Men","2002","Crude","0.0949157178282628","0.0818780280330533","0.109125437871652","0.560561278914988","0.51068965017818","0.610304360357223"
"United States of America","USA","Men","2003","Crude","0.0978333982400048","0.0849121251312072","0.111940004399624","0.565993415326867","0.518044440187782","0.614587695323829"
"United States of America","USA","Men","2004","Crude","0.100978763839092","0.0877836274158976","0.114967095208331","0.571041006442809","0.52422620727181","0.618286086167615"
"United States of America","USA","Men","2005","Crude","0.104341551646913","0.0911266777162647","0.11859111054634","0.575699816823589","0.529260375746285","0.620857895351329"
"United States of America","USA","Men","2006","Crude","0.107902681261193","0.0945851786506339","0.122216479263527","0.580089504007215","0.53415030960355","0.62416727573462"
"United States of America","USA","Men","2007","Crude","0.111703286276625","0.0980623789142424","0.125944121723405","0.584457792123171","0.539278267944804","0.628221321136302"
"United States of America","USA","Men","2008","Crude","0.115571088260393","0.101901611677642","0.129978658044167","0.589124385150669","0.54497753968396","0.63252495129842"
"United States of America","USA","Men","2009","Crude","0.119339670623446","0.105305067526638","0.133768219494286","0.59432014393957","0.550799305354714","0.637783060905785"
"United States of America","USA","Men","2010","Crude","0.122891606707109","0.10851378970331","0.137609729975882","0.600201160892559","0.556952337209677","0.643197605113674"
"United States of America","USA","Men","2011","Crude","0.126224530988565","0.111630113966431","0.14137909143404","0.606744725893731","0.564475297125595","0.649380668219055"
"United States of America","USA","Men","2012","Crude","0.129578413855568","0.114492493537173","0.145247317516964","0.613728331676562","0.571242924879999","0.657054581098643"
"United States of America","USA","Men","2013","Crude","0.13307209071641","0.117171159436008","0.149974882079069","0.621211987892259","0.577357786493567","0.665544947585078"
"United States of America","USA","Men","2014","Crude","0.136771354480456","0.120130354356019","0.154712647706396","0.628905964565275","0.583184612759702","0.674754612293582"
"United States of America","USA","Men","2015","Crude","0.140669827529201","0.122744226976344","0.160045274950943","0.636648115427552","0.587713299232818","0.684400576623955"
"United States of America","USA","Men","2016","Crude","0.144627842727747","0.124721898018834","0.166564912434706","0.644433460432612","0.59142774897612","0.696405485400277"
"United States of America","USA","Men","2017","Crude","0.148558573915308","0.125943058200345","0.172925375027035","0.652227280944454","0.593033850471988","0.709281778848372"
"United States of America","USA","Men","2018","Crude","0.152490025137446","0.126536974461532","0.181072158005","0.659876550193504","0.592474253338981","0.722986951172387"
"United States of America","USA","Men","2019","Crude","0.156498694017116","0.126532873514934","0.190363406125098","0.667241412423392","0.589449129055337","0.738294431642358"
"United States of America","USA","Men","2020","Crude","0.160750005874606","0.124838301641952","0.200953887023222","0.674327023229558","0.585752941539762","0.754706296626833"
"United States of America","USA","Men","2021","Crude","0.165105810341902","0.123374745369972","0.213740664104359","0.681127147279078","0.58046293962979","0.771158635183857"
"United States of America","USA","Men","2022","Crude","0.169607070869355","0.120259079894841","0.226801000505511","0.687609515855775","0.575126969675345","0.78778894121504"
"United States of America","USA","Women","1990","Crude","0.0779428678846618","0.0627434473431694","0.0947481064232107","0.537058919382217","0.464926763588476","0.610374197399728"
"United States of America","USA","Women","1991","Crude","0.0797254727160704","0.0648124499280658","0.0962835685017939","0.544000038101332","0.47349750422973","0.613895555644688"
"United States of America","USA","Women","1992","Crude","0.0813087068588092","0.0666468055898201","0.0976231681631093","0.551035351877831","0.483957181893268","0.61795038432052"
"United States of America","USA","Women","1993","Crude","0.0826010959250094","0.068280674347236","0.0987346927414146","0.55808851820651","0.492076205086356","0.62309520850814"
"United States of America","USA","Women","1994","Crude","0.0835737308363716","0.0696809350962765","0.0990044679520911","0.565061751101702","0.500818349981002","0.628004687731377"
"United States of America","USA","Women","1995","Crude","0.0842469997963834","0.0704747888133014","0.0989917384481544","0.571930027668393","0.509295011096939","0.63302460391165"
"United States of America","USA","Women","1996","Crude","0.0847089935061418","0.0711931512467496","0.0987671550273943","0.578743197242028","0.516713425787016","0.63813826128148"
"United States of America","USA","Women","1997","Crude","0.0850639330422237","0.0719653622362285","0.0987267677992824","0.585489657384316","0.52563982634109","0.644908333937431"
"United States of America","USA","Women","1998","Crude","0.0853968439114197","0.0726927939577027","0.0985471033664122","0.591942596215172","0.534768375673516","0.649568328459424"
"United States of America","USA","Women","1999","Crude","0.0857586067367621","0.0734551660360783","0.0986936235316743","0.598179711701956","0.542361071929523","0.654717999843538"
"United States of America","USA","Women","2000","Crude","0.0862782103628222","0.0739902472257345","0.0990258924991568","0.60409820714643","0.550817445369234","0.659150689954766"
"United States of America","USA","Women","2001","Crude","0.0872093217063156","0.075368299654335","0.10016176958029","0.609705583833297","0.557427958821066","0.662942782183665"
"United States of America","USA","Women","2002","Crude","0.0885407568574008","0.0768393455880957","0.101651655006068","0.614993382234266","0.564818206045892","0.666911232996067"
"United States of America","USA","Women","2003","Crude","0.0901598170416818","0.0782787321261258","0.103154659943744","0.619795174620053","0.57038366690448","0.669214921293732"
